station1,station2,line,line_name,color
11,163,1,Bakerloo Line,ab6612
11,212,1,Bakerloo Line,ab6612
49,87,1,Bakerloo Line,ab6612
49,197,1,Bakerloo Line,ab6612
82,163,1,Bakerloo Line,ab6612
82,193,1,Bakerloo Line,ab6612
84,148,1,Bakerloo Line,ab6612
87,279,1,Bakerloo Line,ab6612
113,246,1,Bakerloo Line,ab6612
113,298,1,Bakerloo Line,ab6612
114,140,1,Bakerloo Line,ab6612
137,206,1,Bakerloo Line,ab6612
137,298,1,Bakerloo Line,ab6612
140,237,1,Bakerloo Line,ab6612
143,159,1,Bakerloo Line,ab6612
143,206,1,Bakerloo Line,ab6612
148,279,1,Bakerloo Line,ab6612
159,278,1,Bakerloo Line,ab6612
185,237,1,Bakerloo Line,ab6612
185,281,1,Bakerloo Line,ab6612
192,197,1,Bakerloo Line,ab6612
192,212,1,Bakerloo Line,ab6612
193,278,1,Bakerloo Line,ab6612
246,281,1,Bakerloo Line,ab6612
13,156,2,Central Line,df002c
13,250,2,Central Line,df002c
16,91,2,Central Line,df002c
16,173,2,Central Line,df002c
24,156,2,Central Line,df002c
24,164,2,Central Line,df002c
28,162,2,Central Line,df002c
28,192,2,Central Line,df002c
37,158,2,Central Line,df002c
37,301,2,Central Line,df002c
48,126,2,Central Line,df002c
48,250,2,Central Line,df002c
51,103,2,Central Line,df002c
51,215,2,Central Line,df002c
68,158,2,Central Line,df002c
68,256,2,Central Line,df002c
72,286,2,Central Line,df002c
76,181,2,Central Line,df002c
76,296,2,Central Line,df002c
88,256,2,Central Line,df002c
91,109,2,Central Line,df002c
98,173,2,Central Line,df002c
98,211,2,Central Line,df002c
103,109,2,Central Line,df002c
105,177,2,Central Line,df002c
105,196,2,Central Line,df002c
112,181,2,Central Line,df002c
112,196,2,Central Line,df002c
126,259,2,Central Line,df002c
127,186,2,Central Line,df002c
127,226,2,Central Line,df002c
149,162,2,Central Line,df002c
149,208,2,Central Line,df002c
153,154,2,Central Line,df002c
153,247,2,Central Line,df002c
154,230,2,Central Line,df002c
154,275,2,Central Line,df002c
164,247,2,Central Line,df002c
177,239,2,Central Line,df002c
181,286,2,Central Line,df002c
186,208,2,Central Line,df002c
192,259,2,Central Line,df002c
211,275,2,Central Line,df002c
215,301,2,Central Line,df002c
221,239,2,Central Line,df002c
221,294,2,Central Line,df002c
226,296,2,Central Line,df002c
230,241,2,Central Line,df002c
241,301,2,Central Line,df002c
2,156,3,Circle Line,f7dc00
2,263,3,Circle Line,f7dc00
11,83,3,Circle Line,f7dc00
11,104,3,Circle Line,f7dc00
14,92,3,Circle Line,f7dc00
14,167,3,Circle Line,f7dc00
18,186,3,Circle Line,f7dc00
18,193,3,Circle Line,f7dc00
25,161,3,Circle Line,f7dc00
25,255,3,Circle Line,f7dc00
44,161,3,Circle Line,f7dc00
44,166,3,Circle Line,f7dc00
83,193,3,Circle Line,f7dc00
87,255,3,Circle Line,f7dc00
87,285,3,Circle Line,f7dc00
90,104,3,Circle Line,f7dc00
90,145,3,Circle Line,f7dc00
92,145,3,Circle Line,f7dc00
99,122,3,Circle Line,f7dc00
99,236,3,Circle Line,f7dc00
122,186,3,Circle Line,f7dc00
156,167,3,Circle Line,f7dc00
150,309,3,Circle Line,f7dc00
166,263,3,Circle Line,f7dc00
229,236,3,Circle Line,f7dc00
229,273,3,Circle Line,f7dc00
248,273,3,Circle Line,f7dc00
248,285,3,Circle Line,f7dc00
309,227,3,Circle Line,f7dc00
3,263,4,District Line,0d6928
3,295,4,District Line,0d6928
15,78,4,District Line,0d6928
15,269,4,District Line,0d6928
17,110,4,District Line,0d6928
17,293,4,District Line,0d6928
18,186,4,District Line,0d6928
18,193,4,District Line,0d6928
21,67,4,District Line,0d6928
21,269,4,District Line,0d6928
25,161,4,District Line,0d6928
25,255,4,District Line,0d6928
33,36,4,District Line,0d6928
33,164,4,District Line,0d6928
36,289,4,District Line,0d6928
44,161,4,District Line,0d6928
44,166,4,District Line,0d6928
52,1,4,District Line,0d6928
52,265,4,District Line,0d6928
66,67,4,District Line,0d6928
66,85,4,District Line,0d6928
72,73,4,District Line,0d6928
73,1,4,District Line,0d6928
74,99,4,District Line,0d6928
74,122,4,District Line,0d6928
74,138,4,District Line,0d6928
74,287,4,District Line,0d6928
74,293,4,District Line,0d6928
78,270,4,District Line,0d6928
80,205,4,District Line,0d6928
80,231,4,District Line,0d6928
83,193,4,District Line,0d6928
85,129,4,District Line,0d6928
87,255,4,District Line,0d6928
87,285,4,District Line,0d6928
96,195,4,District Line,0d6928
96,287,4,District Line,0d6928
99,236,4,District Line,0d6928
108,141,4,District Line,0d6928
108,265,4,District Line,0d6928
110,209,4,District Line,0d6928
122,186,4,District Line,0d6928
129,268,4,District Line,0d6928
141,213,4,District Line,0d6928
164,244,4,District Line,0d6928
166,263,4,District Line,0d6928
195,205,4,District Line,0d6928
200,270,4,District Line,0d6928
200,289,4,District Line,0d6928
209,242,4,District Line,0d6928
229,236,4,District Line,0d6928
229,273,4,District Line,0d6928
231,300,4,District Line,0d6928
242,265,4,District Line,0d6928
244,295,4,District Line,0d6928
248,273,4,District Line,0d6928
248,285,4,District Line,0d6928
267,268,4,District Line,0d6928
299,300,4,District Line,0d6928
41,216,5,East London Line,f3ba22
41,253,5,East London Line,f3ba22
174,253,5,East London Line,f3ba22
175,253,5,East London Line,f3ba22
216,276,5,East London Line,f3ba22
225,276,5,East London Line,f3ba22
225,295,5,East London Line,f3ba22
228,295,5,East London Line,f3ba22
3,156,6,Hammersmith & City Line,f5a6b3
3,295,6,Hammersmith & City Line,f5a6b3
11,83,6,Hammersmith & City Line,f5a6b3
11,104,6,Hammersmith & City Line,f5a6b3
14,92,6,Hammersmith & City Line,f5a6b3
14,167,6,Hammersmith & City Line,f5a6b3
15,78,6,Hammersmith & City Line,f5a6b3
33,36,6,Hammersmith & City Line,f5a6b3
33,164,6,Hammersmith & City Line,f5a6b3
36,289,6,Hammersmith & City Line,f5a6b3
78,270,6,Hammersmith & City Line,f5a6b3
83,193,6,Hammersmith & City Line,f5a6b3
